Super-Takumar 105 mm f/ 2.8 ,105,105,2.8,2.8,22,22,1.2
Asahi Super-Takumar 50 mm f/ 1.4 ,50,50,1.4,1.4,16,16,0.45
Canon EF 17-40 mm f/ 4 L USM ,17, 40,4.0,4.0,22,22,0.28
Canon EF 85 mm f/ 1.8 USM ,85,85,1.8,1.8,22,22,0.85
Canon EF 28-105 mm f/ 3.5-4.5 USM ,28, 105,3.5, 4.5,22,22,0.5
Canon EF 28-105 mm f/ 3.5-4.5 II USM ,28, 105,3.5, 4.5,22,22,0.5
Helios 40-2 85 mm f/ 1.5 ,85,85,1.5,1.5,22,22,0.8
Helios-40 85 mm f/ 1.5 ,85,85,1.5,1.5,22,22,1.15
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL HSM ,12, 24,4.5, 5.6,22,22,0.28
Sigma AF 12-24 mm f/ 4.5-5.6 EX DG ASPHERICAL ,12, 24,4.5, 5.6,22,22,0.28
Canon EF 50 mm f/ 1.4 USM ,50,50,1.4,1.4,22,22,0.45
Canon EF 50 mm f/ 1.8 ,50,50,1.8,1.8,22,22,0.45
Canon EF 50 mm f/ 1.8 II ,50,50,1.8,1.8,22,22,0.45
Canon EF 50 mm f/ 1.2 L USM ,50,50,1.2,1.2,16,16,0.45
Canon EF 50 mm f/ 1.0 L USM ,50,50,1.0,1.0,16,16,0.95
Canon EF 50 mm f/ 2.5 Compact Macro ,50,50,2.5,2.5,32,32,0.23
Canon EF 70-210 mm f/ 4 ,70, 210,4.0,4.0,32,32,1.2
Canon EF 35-105 mm f/ 3.5-4.5 ,35, 105,3.5, 4.5,22,22,0.85
Super-Takumar 85 mm f/ 1.9 ,85,85,1.9,1.9,16,16,0.85
Super-Takumar 55 mm f/ 1.8 ,55,55,1.8,1.8,16,16,0.45
Tamron SP AF 28-75 mm f/ 2.8 XR Di LD Aspherical (IF) ,28, 75,2.8,2.8,32,32,0.33
Tamron SP AF 11-18 mm f/ 4.5-5.6 Di II LD Aspherical (IF) A13 ,11, 18,4.5, 5.6,22,22,0.25
MC Kaleinar-5N 100 mm f/ 2.8 ,100,100,2.8,2.8,22,22,0.8
Nikon Nikkor 105 mm f/ 2.5 Ai-S ,105,105,2.5,2.5,22,22,1
Nikon AF-S Nikkor 17-55 mm f/ 2.8 G IF ED DX ,17, 55,2.8,2.8,22,22,0.36
Nikon AF-S Nikkor 24-70 mm f/ 2.8 G ED ,24, 70,2.8,2.8,22,22,0.38
Nikon AF-S Nikkor 28-70 mm f/ 2.8 D ED IF ,28, 70,2.8,2.8,22,22,0.7
Carl Zeiss Jena Biometar 120 mm f/ 2.8 ,120,120,2.8,2.8,22,22,1.3
3M-5SA 500 mm f/ 8.0 ,500,500,8.0,8.0,8.0,8.0,4
Nikon AF-S Nikkor 10-24 mm f/ 3.5-4.5 G ED DX ,10, 24,3.5, 4.5,22,22,0.24
Nikon AF-S Nikkor 16-35 mm f/ 4 G ED VR ,16, 35,4.0,4.0,22,22,0.28
Nikon AF-S Nikkor 16-85 mm f/ 3.5-5.6 G ED VR DX ,16, 85,3.5, 5.6,22,22,0.38
Carl Zeiss Jena Flektogon 20 mm f/ 4 ,20,20,4.0,4.0,22,22,0.16
MTO-11 1000 mm f/ 10 ,1000,1000,10,10,10,10,8
Olympus OM-System Zuiko Auto-S 50 mm f/ 1.8 ,50,50,1.8,1.8,16,16,0.45
Olympus Om-System Zuiko Auto-T 135 mm f/ 3.5 ,135,135,3.5,3.5,22,22,1.5
Tamron SP AF 10-24 mm f/ 3.5-4.5 Di II LD Aspherical (IF) ,10, 24,3.5, 4.5,22,22,0.24
Tair-11 133 mm f/ 2.8 ,133,133,2.8,2.8,22,22,1.5
Tair 11-2 135 mm f/ 2.8 ,135,135,2.8,2.8,22,22,1.5
Tair-11A 135 mm f/ 2.8 ,135,135,2.8,2.8,22,22,1.2
Nikon AF-S Nikkor 18-55 mm f/ 3.5-5.6 G VR DX ,18, 55,3.5, 5.6,22,22,0.28
Jupiter-37A 135 mm f/ 3.5 ,135,135,3.5,3.5,22,22,1.2
Canon EF 16-35 mm f/ 2.8 L USM ,16, 35,2.8,2.8,22,22,0.28
Canon EF 16-35 mm f/ 2.8 L II USM ,16, 35,2.8,2.8,22,22,0.28
Jupiter-9 85 mm f/ 2.0 ,85,85,2.0,2.0,16,16,0.8
Canon EF-S 10-22 mm f/ 3.5-4.5 USM ,10, 22,3.5, 4.5,22,22,0.24
MC Zenitar 16 mm f/ 2.8 Fish-Eye ,16,16,2.8,2.8,22,22,0.3
Canon EF 70-200 mm f/ 4 L USM ,70, 200,4.0,4.0,32,32,1.2
Minolta MC Rokkor 58 mm f/ 1.2 ,58,58,1.2,1.2,16,16,0.6
MC Volna-3 80